日期,品名,规格,材质,品牌,价格,地区,抓取时间,创建时间
2026-05-16,高线,Φ12,HPB300,石横特钢,3790,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,永锋,3940,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,石横特钢,3940,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,江苏镔鑫,3880,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,永锋,3930,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,石横特钢,3930,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,江苏镔鑫,3870,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,永锋,3940,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,石横特钢,3940,山东烟台,None,None
2026-05-16,高线,Φ6,HPB300,江苏镔鑫,3880,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,永锋,3620,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,石横特钢,3620,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,江苏镔鑫,3580,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,永锋,3610,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,石横特钢,3610,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,江苏镔鑫,3570,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,永锋,3620,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,石横特钢,3620,山东烟台,None,None
2026-05-16,高线,Φ8,HPB300,江苏镔鑫,3580,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,永锋,3510,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,石横特钢,3510,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,永锋,3520,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,石横特钢,3520,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,永锋,3510,山东烟台,None,None
2026-05-15,圆钢,Φ12-22,HPB300,石横特钢,3510,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,永锋,3760,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,石横特钢,3760,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,永锋,3770,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,石横特钢,3770,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,永锋,3760,山东烟台,None,None
2026-05-15,圆钢,Φ25-32,HPB300,石横特钢,3760,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,永锋,3820,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,石横特钢,3820,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,江苏镔鑫,3780,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,敬业营口,3780,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,永锋,3620,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,石横特钢,3620,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,江苏镔鑫,3580,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,敬业营口,3570,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB500E,永锋,3830,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB500E,石横特钢,3830,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB500E,江苏镔鑫,3790,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB500E,敬业营口,3790,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,永锋,3610,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,石横特钢,3610,山东烟台,None,None
2026-05-15,盘螺,Φ10,HRB400E,江苏镔鑫,3570,山东烟台,None,None
